year,facility,total emissions
2019,Puget Sound Energy - Mint Farm Generating Station - Longview,759455
2014,Sierra Pacific Industries - Burlington - Mount Vernon,279566
2014,The Boeing Company - Auburn Site - Auburn,36691
2014,Sierra Pacific Industries - Centralia,45935
2014,Lamb Weston - Connell,38810
2021,Gas Transmission Northwest Compressor Station 7 - Starbuck,90620
2016,Naval Base Kitsap Bangor - Silverdale,20109
2019,Cowlitz County Headquarters Landfill - Castle Rock,253886
2017,Waste Management Greater Wenatchee Regional Landfill - East Wenatchee,27951
2018,Northwest Pipeline Roosevelt C/S - Bickleton,13970
2017,Okanogan County Central Landfill - Okanogan,13567
2019,City of Ellensburg LDC - supplier,29657
2015,Cathcart Landfill - Snohomish,23520
2021,Puget Sound Energy - Fredonia Generating Station - Mount Vernon,250660
2014,The Boeing Company - Fabrication (Frederickson Site) - Puyallup,21442
2017,Star Forge LLC dba Jorgensen Forge - Tukwila,8739
2017,Spokane Waste to Energy Facility - Spokane,234104
2016,Grays Harbor Energy Center - Elma,1081729
2016,WestRock LLC - Longview,1661899
2016,Lamb Weston - Richland,35966
2017,Hampton Lumber Mills Washington Inc. - Randle,64712
